code,units
100000-9,
100001-7,
100002-5,
100003-3,
100004-1,
100005-8,
100006-6,
100007-4,
10000-8,s
100008-2,
100009-0,
100010-8,
100011-6,
100012-4,
100013-2,
100014-0,
100015-7,
10001-6,s
100016-5,
100017-3,
100018-1,
100019-9,
100020-7,
100021-5,
100022-3,
100023-1,
10002-4,s
100024-9,
100025-6,
100026-4,
100027-2,
100028-0,
100029-8,
100030-6,{score}
100031-4,{score}
10003-2,s
100032-2,{score}
100033-0,{score}
100034-8,
100035-5,
100036-3,
100037-1,
100038-9,
100039-7,
10004-0,s
100040-5,
100041-3,
100042-1,
100043-9,
100044-7,
100045-4,
100046-2,
100047-0,
100048-8,
100049-6,
100050-4,
100051-2,
100052-0,
100053-8,
100054-6,
100055-3,
100056-1,
10005-7,s
100057-9,
100058-7,
100059-5,
100060-3,
100061-1,
100062-9,
100063-7,
100064-5,
10006-5,s
100065-2,
100066-0,
100067-8,mm
100068-6,
100069-4,
100070-2,/{area}
100071-0,/{area}
100072-8,mm2
10007-3,s
100073-6,mm2
100074-4,%
100075-1,%
100076-9,{#}
100077-7,{#}
100078-5,mm2
100079-3,mm2
100080-1,mm2
10008-1,s
100081-9,mm2
100082-7,mm2
100083-5,mm2
100084-3,mm2
100085-0,mm2
100086-8,
100087-6,
100088-4,
100089-2,
1000-9,
100090-0,
100091-8,[arb'U]/mL
100092-6,
100093-4,
100094-2,
100095-9,
100096-7,
100097-5,
100098-3,
10009-9,s
100099-1,
100100-7,
100101-5,
100102-3,
100103-1,
100104-9,
100105-6,
100106-4,
10010-7,mV
100107-2,
100108-0,[arb'U]/mL
100109-8,
100110-6,
100111-4,
100112-2,
100113-0,
100114-8,
10011-5,mV
100115-5,
100116-3,
100117-1,
100118-9,
100119-7,
100120-5,
100121-3,
100122-1,
10012-3,mV
100123-9,
100124-7,[arb'U]/mL
100125-4,
100126-2,
100127-0,
100128-8,
100129-6,{titer}
100130-4,
10013-1,mV
100131-2,
100132-0,
100133-8,
100134-6,
100135-3,
100136-1,
100137-9,
100138-7,
100139-5,
100140-3,
100141-1,
100142-9,
100143-7,
100144-5,
100145-2,
100146-0,
100147-8,
100148-6,
10014-9,mV
100149-4,
100150-2,umol/L
100151-0,umol/L
100152-8,umol/mmol{creat}
100153-6,umol/mmol{creat}
100154-4,
100155-1,
10015-6,mV
100156-9,
100157-7,
100158-5,mg/L
100159-3,
100160-1,
100161-9,
100162-7,
100163-5,
10016-4,mV
100164-3,
100165-0,deg
100166-8,
100167-6,
100168-4,
100169-2,
1001-7,
100170-0,
100171-8,
10017-2,mV
100172-6,
100173-4,
100174-2,
100175-9,
100176-7,
100177-5,
100178-3,
100179-1,
10018-0,mV
100180-9,
100181-7,
100182-5,
100183-3,
100184-1,
100185-8,
100186-6,
100187-4,
100188-2,
100189-0,
100190-8,
100191-6,
100192-4,
100193-2,
100194-0,
100195-7,
100196-5,{score}
100197-3,
10019-8,mV
100198-1,{score}
100199-9,{score}
100200-5,{score}
100201-3,{score}
100202-1,{score}
100203-9,
100204-7,
100205-4,
10020-6,mV
100206-2,
100207-0,{score}
100208-8,{score}
100209-6,{score}
100210-4,{score}
100211-2,{score}
100212-0,{score}
100213-8,
10021-4,mV
100214-6,
100215-3,
100216-1,
100217-9,
100218-7,
100219-5,
100220-3,
100221-1,
10022-2,s
100222-9,
100223-7,
100224-5,
100225-2,
100226-0,
100227-8,
100228-6,
100229-4,
10023-0,s
100230-2,
100231-0,
100232-8,
100233-6,
100234-4,
100235-1,
100236-9,
100237-7,
100238-5,
100239-3,
100240-1,
100241-9,
100242-7,
100243-5,
100244-3,
100245-0,
100246-8,
100247-6,
10024-8,s
100248-4,
100249-2,
1002-5,
100250-0,
100251-8,
100252-6,
100253-4,
100254-2,
10025-5,s
100255-9,{score}
100256-7,
100257-5,
100258-3,
100259-1,
100260-9,
100261-7,
100262-5,
10026-3,s
100263-3,
100264-1,
100265-8,
100266-6,
100267-4,
100268-2,
100269-0,
100270-8,
10027-1,s
100271-6,
100272-4,
100273-2,
100274-0,{score}
100275-7,{score}
100276-5,{score}
100277-3,{score}
100278-1,{score}
100279-9,{score}
100280-7,
100281-5,[IU]/mL
100282-3,
100283-1,
100284-9,
100285-6,
100286-4,
100287-2,
100288-0,{score}
10028-9,s
100289-8,
100290-6,{score}
100291-4,{score}
100292-2,{score}
100293-0,
100294-8,
100295-5,
100296-3,
10029-7,s
100297-1,
100298-9,{#}
100299-7,{score}
100300-3,{clock_time}
100301-1,{clock_time}
100302-9,
100303-7,
100304-5,{#}
10030-5,s
100305-2,
100306-0,
100307-8,
100308-6,
100309-4,
100310-2,
100311-0,
100312-8,
10031-3,s
100313-6,
100314-4,
100315-1,
100316-9,
100317-7,
100318-5,
100319-3,
100320-1,
10032-1,s
100321-9,
100322-7,
100323-5,
100324-3,
100325-0,
100326-8,
100327-6,
100328-4,
100329-2,
1003-3,
100330-0,
100331-8,
100332-6,
100333-4,
100334-2,
100335-9,
100336-7,
100337-5,
100338-3,
10033-9,s
100339-1,
100340-9,
100341-7,{Index_val}
100342-5,
100343-3,
100344-1,
100345-8,
100346-6,s
10034-7,mV
100347-4,s
100348-2,{score}
100349-0,
100350-8,kU/L
100351-6,ng/mL
100352-4,ng/mL
100353-2,
10035-4,mV
100354-0,
100355-7,
100356-5,
100357-3,
100358-1,
100359-9,ng/mL
100360-7,
100361-5,
10036-2,mV
100362-3,
100363-1,
100364-9,
100365-6,
100366-4,
100367-2,{score}
100368-0,
100369-8,
10037-0,mV
100370-6,
100371-4,{Index_val}
100372-2,ng/mL
100373-0,k[IU]/L
100374-8,k[IU]/L
100375-5,k[IU]/L
100376-3,k[IU]/L
100377-1,k[IU]/L
100378-9,k[IU]/L
100379-7,k[IU]/L
100380-5,k[IU]/L
100381-3,k[IU]/L
100382-1,
100383-9,
100384-7,k[IU]/L
100385-4,k[IU]/L
100386-2,k[IU]/L
100387-0,k[IU]/L
10038-8,mV
100388-8,k[IU]/L
100389-6,k[IU]/L
100390-4,k[IU]/L
100391-2,k[IU]/L
100392-0,k[IU]/L
100393-8,k[IU]/L
100394-6,k[IU]/L
100395-3,k[IU]/L
10039-6,mV
100396-1,k[IU]/L
100397-9,k[IU]/L
100398-7,k[IU]/L
100399-5,k[IU]/L
100400-1,k[IU]/L
100401-9,k[IU]/L
100402-7,k[IU]/L
100403-5,k[IU]/L
10040-4,mV
100404-3,k[IU]/L
100405-0,k[IU]/L
100406-8,k[IU]/L
100407-6,k[IU]/L
100408-4,k[IU]/L
100409-2,k[IU]/L
1004-1,
100410-0,k[IU]/L
100411-8,k[IU]/L
10041-2,mV
100412-6,k[IU]/L
100413-4,k[IU]/L
100414-2,k[IU]/L
100415-9,k[IU]/L
100416-7,k[IU]/L
100417-5,k[IU]/L
100418-3,k[IU]/L
100419-1,k[IU]/L
10042-0,mV
100420-9,k[IU]/L
100421-7,k[IU]/L
100422-5,k[IU]/L
100423-3,k[IU]/L
100424-1,mg/L
100425-8,mg/L
100426-6,mg/L
100427-4,mg/L
100428-2,
100429-0,
100430-8,%
100431-6,[arb'U]
100432-4,%
100433-2,[arb'U]
100434-0,
100435-7,ug/mL
100436-5,ug/mL
100437-3,ng/mL
10043-8,mV
100438-1,
100439-9,
100440-7,
100441-5,
100442-3,
100443-1,
100444-9,
100445-6,
10044-6,mV
100446-4,
100447-2,
100448-0,
100449-8,
100450-6,
100451-4,
100452-2,
10045-3,mV
100453-0,
100454-8,
100455-5,
100456-3,
100457-1,
100458-9,
100459-7,
100460-5,
10046-1,s
100461-3,
100462-1,
100463-9,
100464-7,
100465-4,
100466-2,
100467-0,
100468-8,
100469-6,
100470-4,
100471-2,
100472-0,
100473-8,
100474-6,
100475-3,
100476-1,
100477-9,
100478-7,
10047-9,s
100479-5,
100480-3,
100481-1,
100482-9,
100483-7,
100484-5,
100485-2,
100486-0,
10048-7,s
100487-8,
100488-6,
100489-4,
100490-2,
100491-0,
100492-8,
100493-6,
100494-4,
10049-5,s
100495-1,
100496-9,
100497-7,
100498-5,
100499-3,
100500-8,
100501-6,
100502-4,
10050-3,s
100503-2,
100504-0,
100505-7,
100506-5,
100507-3,
100508-1,
100509-9,
100510-7,
10051-1,s
100511-5,
100512-3,
100513-1,
100514-9,
100515-6,
100516-4,
100517-2,
100518-0,
100519-8,
100520-6,
100521-4,
100522-2,
100523-0,
100524-8,
100525-5,
100526-3,
100527-1,
100528-9,
10052-9,s
100529-7,
100530-5,
100531-3,
100532-1,
100533-9,
100534-7,
100535-4,
100536-2,
10053-7,s
100537-0,
100538-8,
100539-6,
100540-4,
100541-2,
100542-0,
100543-8,
100544-6,
10054-5,s
100545-3,
100546-1,
100547-9,
100548-7,
100549-5,
100550-3,
100551-1,
10055-2,s
100552-9,
100553-7,
100554-5,
100555-2,
100556-0,
100557-8,
100558-6,
100559-4,
10056-0,s
100560-2,
100561-0,
100562-8,
100563-6,
100564-4,
100565-1,
100566-9,
100567-7,
100568-5,
100569-3,
100570-1,
100571-9,
100572-7,
100573-5,
100574-3,
100575-0,
100576-8,
100577-6,
10057-8,s
100578-4,
100579-2,
1005-8,
100580-0,
100581-8,
100582-6,
100583-4,
100584-2,
100585-9,
10058-6,mV
100586-7,
